1	sample1
2	sample2
3	sample3
4	sample4
5	sample5
6	sample6
7	sample7
8	sample8
9	sample9
10	sample10
11	sample11
12	sample12
13	sample13
14	sample14
15	sample15
16	sample16
17	sample17
18	sample18
19	sample19
20	sample20
21	sample21
22	sample22
23	sample23
24	sample24
25	sample25
26	sample26
27	sample27
28	sample28
29	sample29
30	sample30
31	sample31
32	sample32
33	sample33
34	sample34
35	sample35
36	sample36
37	sample37
38	sample38
39	sample39
40	sample40
41	sample41
42	sample42
43	sample43
44	sample44
45	sample45
46	sample46
47	sample47
48	sample48
49	sample49
50	sample50
51	sample51
52	sample52
53	sample53
54	sample54
55	sample55
56	sample56
57	sample57
58	sample58
59	sample59
60	sample60
61	sample61
62	sample62
63	sample63
64	sample64
65	sample65
66	sample66
67	sample67
68	sample68
69	sample69
70	sample70
71	sample71
72	sample72
73	sample73
74	sample74
75	sample75
76	sample76
77	sample77
78	sample78
79	sample79
80	sample80
81	sample81
82	sample82
83	sample83
84	sample84
85	sample85
86	sample86
87	sample87
88	sample88
89	sample89
90	sample90
91	sample91
92	sample92
93	sample93
94	sample94
95	sample95
96	sample96
97	sample97
98	sample98
99	sample99
100	sample100
101	sample101
102	sample102
103	sample103
104	sample104
105	sample105
106	sample106
107	sample107
108	sample108
109	sample109
110	sample110
111	sample111
112	sample112
113	sample113
114	sample114
115	sample115
116	sample116
117	sample117
118	sample118
119	sample119
120	sample120
121	sample121
122	sample122
123	sample123
124	sample124
125	sample125
126	sample126
127	sample127
128	sample128
129	sample129
130	sample130
131	sample131
132	sample132
133	sample133
134	sample134
135	sample135
136	sample136
137	sample137
138	sample138
139	sample139
